year,name,author,genre,price,quantity,url
1993,Wuthering Heights,Virginia Woolf,Fiction,52,29,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2001,Deewaar,George Orwell,Children's,42,72,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1992,Von Richthofen and Brown,Stephen King,Romance,89,59,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1999,"Pajama Game, The",George Orwell,Thriller,62,63,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2011,Trust,J.K. Rowling,Autobiography,45,49,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2001,Shuttle,Ernest Hemingway,Fiction,39,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2005,How to Train Your Dragon,William Shakespeare,Biography,3,63,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1991,Nina Frisk,George Orwell,Non-Fiction,91,91,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2007,Primeval,Harper Lee,Science,17,94,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2012,Partners in Crime (Associés contre le crime...),George Orwell,Science,79,18,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1999,Sink the Bismark!,J.K. Rowling,Biography,71,39,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2012,"Oh, Woe Is Me (Hélas pour moi)",J.R.R. Tolkien,Thriller,71,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1995,Soap Girl,Charles Dickens,Autobiography,48,25,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2006,"Hanging Garden, The",Harper Lee,Autobiography,10,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1992,Five Corners,Jane Austen,Self-Help,21,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1999,National Lampoon's Cattle Call (Cattle Call),Harper Lee,Thriller,13,32,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2010,Waxwork,Harper Lee,Young Adult,97,81,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2001,Monsieur Verdoux,J.K. Rowling,Young Adult,62,95,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2005,"Home of Dark Butterflies, The (Tummien perhosten koti)",Agatha Christie,Technology,96,62,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2010,Il cappotto di legno,Agatha Christie,Mystery,68,71,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2008,"Conspiracy, The",William Shakespeare,Travel,60,34,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2003,Suddenly (Tan de Repente),Charles Dickens,Mystery,35,75,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2008,State Property,William Shakespeare,Poetry,54,99,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1993,Electrick Children,Harper Lee,Children's,10,68,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,Fermat's Room (La habitación de Fermat),J.R.R. Tolkien,Travel,81,38,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2005,Whisper of the Heart (Mimi wo sumaseba),Harper Lee,Biography,45,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2012,100 Ways to Murder Your Wife (Sha qi er ren zu),F. Scott Fitzgerald,Cookbooks,71,28,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2002,"Ella Lola, a la Trilby",Ernest Hemingway,Children's,73,22,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1979,Bowfinger,J.R.R. Tolkien,Graphic Novels,62,2,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1997,Charlie Wilson's War,J.K. Rowling,Science,25,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1988,Brewster's Millions,Stephen King,Self-Help,60,95,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2006,"Body, The",Ernest Hemingway,Romance,1,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1989,"Love Nest, The",J.R.R. Tolkien,Science,88,52,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1997,Babes in Arms,Virginia Woolf,Biography,6,78,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2005,Collision Earth,Mark Twain,Science Fiction,48,90,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1994,Jupiter's Darling,Charles Dickens,Mystery,22,78,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2009,Into the West,George Orwell,Young Adult,91,18,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2008,Aeon Flux,F. Scott Fitzgerald,Graphic Novels,81,68,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2012,"Philadelphia Experiment, The",Stephen King,Technology,51,99,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2011,Friday After Next,William Shakespeare,Autobiography,76,52,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2004,Massacre Canyon,Harper Lee,Science Fiction,56,81,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2007,.45,Ernest Hemingway,Science Fiction,16,71,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2012,"Wild Grass (Herbes folles, Les)",Harper Lee,Poetry,95,45,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2003,Sniper,J.R.R. Tolkien,Science,45,68,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2005,Street Scenes ,Charles Dickens,Cookbooks,56,21,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1999,Cool as Ice,George Orwell,Technology,14,83,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2006,"Miracle of Morgan's Creek, The",Virginia Woolf,Horror,9,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2011,Delta,J.R.R. Tolkien,Cookbooks,89,80,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2008,Printed Rainbow,Mark Twain,Romance,5,86,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2000,"Movie, A",Agatha Christie,Children's,53,99,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2010,Lemora: A Child's Tale of the Supernatural,Ernest Hemingway,Graphic Novels,77,17,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2000,What's the Matter with Helen?,Stephen King,Romance,81,79,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2000,Under the Tuscan Sun,Mark Twain,Thriller,94,2,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1993,Secret,Mark Twain,Thriller,4,43,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2009,Urbanized,William Shakespeare,Young Adult,45,27,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2009,"Story of Seabiscuit, The",Virginia Woolf,Horror,78,25,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1989,Chantilly Lace,Stephen King,Thriller,22,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1999,"Lebanon, Pa.",William Shakespeare,Historical Fiction,2,53,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2012,"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The",Mark Twain,Thriller,90,77,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2012,Calendar Girl,F. Scott Fitzgerald,Historical Fiction,52,51,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1996,Cool It,F. Scott Fitzgerald,Thriller,99,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,Jerry and Tom,Harper Lee,Romance,11,40,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2003,"Arrival of a Train, The",Jane Austen,Technology,96,65,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1986,388 Arletta Avenue,Ernest Hemingway,Fantasy,81,71,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2010,"Ghost Ship, The",J.K. Rowling,Graphic Novels,6,67,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2004,Made for Each Other,William Shakespeare,Thriller,2,38,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2008,Rubin and Ed,Stephen King,Science,77,71,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1991,Auschwitz: The Nazis and the 'Final Solution',Mark Twain,Science,59,40,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2006,A True Mob Story,Jane Austen,Thriller,68,94,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1992,Deadly Blessing,Harper Lee,Fantasy,65,31,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2002,When a Stranger Calls,F. Scott Fitzgerald,Young Adult,24,96,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2006,"Mountain, The",Ernest Hemingway,Historical Fiction,19,74,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2010,My Life Without Me,Jane Austen,Fantasy,67,11,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2004,Killer Condom (Kondom des Grauens),Ernest Hemingway,Poetry,81,58,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2005,"Fists in the Pocket (Pugni in tasca, I)",Jane Austen,Science,44,45,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1994,Grand Prix,Stephen King,Autobiography,1,5,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2004,Cass Timberlane,F. Scott Fitzgerald,Science,92,32,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2004,I Confess,George Orwell,Children's,47,39,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1999,Band of Brothers,William Shakespeare,Young Adult,5,61,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1986,"Man on the Train (Homme du train, L')",George Orwell,Mystery,50,14,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1961,For My Father (Sof Shavua B'Tel Aviv),J.K. Rowling,Children's,5,72,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2009,"Lock, Stock & Two Smoking Barrels",Stephen King,Horror,53,1,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2012,Diamond Girl,Stephen King,Fiction,47,92,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2007,"Foreign Affair, A",Charles Dickens,Romance,47,38,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2008,Dragonworld,Charles Dickens,Science Fiction,88,98,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2006,Abbott and Costello Meet the Keystone Kops,F. Scott Fitzgerald,Science Fiction,2,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1994,Swamp Shark,Stephen King,Young Adult,92,1,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1989,He Loves Me... He Loves Me Not (À la folie... pas du tout),Mark Twain,Science,28,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2011,Date with an Angel,George Orwell,Fantasy,76,18,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2002,"Life Before Her Eyes, The",F. Scott Fitzgerald,Fantasy,82,35,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1990,"Great Race, The",J.K. Rowling,Young Adult,15,64,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2001,Life for Sale (Kotirauha),Virginia Woolf,Horror,11,12,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1994,All's Faire in Love,Mark Twain,Horror,3,54,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1990,Pressed,George Orwell,Autobiography,25,48,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1993,"Devil's Playground, The",Virginia Woolf,Cookbooks,88,88,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2008,Six of a Kind,Charles Dickens,Mystery,27,54,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2011,Blue Steel,William Shakespeare,Travel,53,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
